pygame 2.0.1 (SDL 2.0.9, Python 3.7.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         67296374 function calls (67291979 primitive calls) in 27.451 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      850    0.001    0.000    0.001    0.000 __init__.py:2605(key)
       15    0.001    0.000    0.017    0.001 {built-in method builtins.sorted}
     4834    0.001    0.000    0.001    0.000 {built-in method math.floor}
       72    0.001    0.000    0.005    0.000 dsp.py:908(pump_input)
      576    0.001    0.000    0.004    0.000 gfx.py:187(hex_string)
       15    0.001    0.000    0.001    0.000 {built-in method pygame.image.load}
     1193    0.001    0.000    0.008    0.000 dsp.py:3498(bbox_top)
      305    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     5200    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      161    0.001    0.000    0.003    0.000 __init__.py:1586(_get)
       18    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
     1121    0.001    0.000    0.001    0.000 dsp.py:3650(image_blend)
       93    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      322    0.001    0.000    0.063    0.000 __init__.py:2005(find_on_path)
     5044    0.001    0.000    0.001    0.000 dsp.py:3556(image_index)
      720    0.001    0.000    0.006    0.000 dsp.py:2326(project_dot)
      288    0.001    0.000    0.002    0.000 keyboard.py:181(get_pressed)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     4468    0.001    0.000    0.001    0.000 dsp.py:3408(tangible)
     5186    0.001    0.000    0.001    0.000 dsp.py:2921(y)
     2209    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
      160    0.001    0.000    0.007    0.000 __init__.py:2159(_handle_ns)
      953    0.001    0.000    0.001    0.000 __init__.py:2753(__getattr__)
        1    0.001    0.001    0.367    0.367 dsp.py:398(__init__)
       72    0.001    0.000    0.001    0.000 {built-in method pygame.event.get}
      426    0.001    0.000    0.003    0.000 __init__.py:1476(_validate_resource_path)
    11164    0.001    0.000    0.001    0.000 {built-in method math.sqrt}
     4530    0.001    0.000    0.001    0.000 gfx.py:347(width)
      141    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    161/3    0.001    0.000    0.184    0.061 <frozen importlib._bootstrap>:978(_find_and_load)
      426    0.001    0.000    0.005    0.000 __init__.py:1470(_fn)
        9    0.001    0.000    0.001    0.000 enum.py:135(__new__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       18    0.001    0.000    0.001    0.000 {method 'copy' of 'pygame.Surface' objects}
     1223    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      471    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
      153    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
     1806    0.001    0.000    0.001    0.000 {built-in method builtins.any}
       96    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
2027/2018    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
    151/3    0.001    0.000    0.183    0.061 <frozen importlib._bootstrap>:663(_load_unlocked)
      254    0.001    0.000    0.024    0.000 __init__.py:2516(_version_from_file)
     2739    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      269    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      426    0.000    0.000    0.002    0.000 ntpath.py:67(isabs)
       96    0.000    0.000    0.003    0.000 __init__.py:1861(get_metadata)
      330    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      310    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      142    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      610    0.000    0.000    0.005    0.000 version.py:74(__init__)
     4530    0.000    0.000    0.000    0.000 gfx.py:358(height)
     4993    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2530    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      306    0.000    0.000    0.008    0.000 __init__.py:2533(__init__)
     2084    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
     8463    0.000    0.000    0.000    0.000 {method 'copy' of 'pygame.Rect' objects}
     1542    0.000    0.000    0.001    0.000 version.py:53(__eq__)
       77    0.000    0.000    0.003    0.000 r.py:610(o_update_object_areas)
     2729    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      304    0.000    0.000    0.013    0.000 __init__.py:1994(_by_version)
    161/3    0.000    0.000    0.184    0.061 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
     1280    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1845    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2473    0.000    0.000    0.000    0.000 gfx.py:155(red)
      304    0.000    0.000    0.012    0.000 __init__.py:2000(<listcomp>)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.play}
       77    0.000    0.000    0.032    0.000 sre_compile.py:759(compile)
     1116    0.000    0.000    0.000    0.000 collision.py:34(rectangles_collide)
       18    0.000    0.000    0.066    0.004 __init__.py:611(add_entry)
        1    0.000    0.000    0.051    0.051 subprocess.py:1633(_communicate)
        1    0.000    0.000    0.000    0.000 snd.py:35(Sound)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
     1402    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       72    0.000    0.000    0.004    0.000 dsp.py:1139(regulate_speed)
      746    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      576    0.000    0.000    0.001    0.000 gfx.py:211(__getitem__)
      254    0.000    0.000    0.025    0.000 __init__.py:2923(_reload_version)
     3100    0.000    0.000    0.000    0.000 dsp.py:3363(y)
      161    0.000    0.000    0.005    0.000 __init__.py:1409(get_metadata)
     3100    0.000    0.000    0.000    0.000 dsp.py:3353(x)
     1367    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
     1612    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2562    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
      901    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      326    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      254    0.000    0.000    0.017    0.000 {built-in method builtins.next}
     1494    0.000    0.000    0.001    0.000 version.py:47(__lt__)
     1173    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      524    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {method 'render' of 'pygame.font.Font' objects}
     2532    0.000    0.000    0.000    0.000 dsp.py:2087(object_area_height)
